2026-07-03 00:54:40,349 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | START tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
2026-07-03 00:54:40,350 | INFO     | ai_automation.api.data_driven | Annotated call: TestCartApiInline.test_cart_add_from_search_inline(query='iPhone')
2026-07-03 00:54:40,351 | INFO     | ai_automation.api.data_driven | Step: find product for 'iPhone'
2026-07-03 00:54:40,351 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:40,352 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:40,352 | INFO     | ai_automation.api.data_driven | Step: add product 40 to cart
2026-07-03 00:54:40,352 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:40,354 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:40,355 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:40,357 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | END   tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
