2026-05-29 11:44:46,834 | INFO     | ai_automation.test_cart_total_positive_after_add_inline[MacBook] | START tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_total_positive_after_add_inline[MacBook]
2026-05-29 11:44:46,836 | INFO     | ai_automation.api.data_driven | Step: add 'MacBook' product to cart
2026-05-29 11:44:46,837 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,837 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,838 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,840 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,840 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,841 | INFO     | ai_automation.api.data_driven | Cart total after adding 'MacBook': 602.0
2026-05-29 11:44:46,843 | INFO     | ai_automation.test_cart_total_positive_after_add_inline[MacBook] | END   tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_total_positive_after_add_inline[MacBook]
