2026-07-03 13:15:11,802 | INFO     | ai_automation.test_login_empty_credentials_returns_warning_not_crash | START tests/api/test_pentest.py::TestAuthenticationPentest::test_login_empty_credentials_returns_warning_not_crash
2026-07-03 13:15:11,803 | INFO     | ai_automation.pentest | Step: POST account/login with empty email and password
2026-07-03 13:15:11,803 | INFO     | ai_automation.pentest | Step: Assert 200, Warning present, no Fatal error or 5xx
2026-07-03 13:15:11,805 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,805 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,805 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,805 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,805 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,806 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,807 | INFO     | ai_automation.test_login_empty_credentials_returns_warning_not_crash | END   tests/api/test_pentest.py::TestAuthenticationPentest::test_login_empty_credentials_returns_warning_not_crash
