2026-05-29 11:40:10,202 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | START tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
2026-05-29 11:40:10,204 | INFO     | ai_automation.api.data_driven | Step: find product for 'iPhone'
2026-05-29 11:40:10,204 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,205 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,205 | INFO     | ai_automation.api.data_driven | Step: add product 40 to cart
2026-05-29 11:40:10,205 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,205 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,206 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,208 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | END   tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
