2026-07-03 13:15:09,817 | INFO     | ai_automation.test_cart_add_from_search_json[iPhone] | START tests/api/test_api_data_driven.py::TestCartApiJson::test_cart_add_from_search_json[iPhone]
2026-07-03 13:15:09,819 | INFO     | ai_automation.api.data_driven | Annotated call: TestCartApiJson.test_cart_add_from_search_json(query='iPhone')
2026-07-03 13:15:09,819 | INFO     | ai_automation.api.data_driven | Step: JSON cart add for 'iPhone'
2026-07-03 13:15:09,819 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,820 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,820 | INFO     | ai_automation.api.data_driven | Step: add product 40 from query 'iPhone'
2026-07-03 13:15:09,820 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,821 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,822 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,823 | INFO     | ai_automation.test_cart_add_from_search_json[iPhone] | END   tests/api/test_api_data_driven.py::TestCartApiJson::test_cart_add_from_search_json[iPhone]
