2026-05-29 11:44:46,793 | INFO     | ai_automation.test_cart_add_from_search_inline[MacBook] | START tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[MacBook]
2026-05-29 11:44:46,795 | INFO     | ai_automation.api.data_driven | Step: find product for 'MacBook'
2026-05-29 11:44:46,795 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,796 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,796 | INFO     | ai_automation.api.data_driven | Step: add product 43 to cart
2026-05-29 11:44:46,796 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,797 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,797 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,800 | INFO     | ai_automation.test_cart_add_from_search_inline[MacBook] | END   tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[MacBook]
