2026-07-03 00:54:19,256 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | START tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
2026-07-03 00:54:19,257 | INFO     | ai_automation.api.data_driven | Annotated call: TestCartApiInline.test_cart_add_from_search_inline(query='iPhone')
2026-07-03 00:54:19,257 | INFO     | ai_automation.api.data_driven | Step: find product for 'iPhone'
2026-07-03 00:54:19,258 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:19,258 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:19,258 | INFO     | ai_automation.api.data_driven | Step: add product 40 to cart
2026-07-03 00:54:19,259 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:19,260 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:19,260 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:19,262 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | END   tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
