2026-07-03 13:15:09,686 | INFO     | ai_automation.test_cart_total_positive_after_add_inline[iPhone] | START tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_total_positive_after_add_inline[iPhone]
2026-07-03 13:15:09,688 | INFO     | ai_automation.api.data_driven | Annotated call: TestCartApiInline.test_cart_total_positive_after_add_inline(query='iPhone')
2026-07-03 13:15:09,688 | INFO     | ai_automation.api.data_driven | Step: add 'iPhone' product to cart
2026-07-03 13:15:09,688 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,689 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,689 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,689 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,689 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:09,690 | INFO     | ai_automation.api.data_driven | Cart total after adding 'iPhone': 123.2
2026-07-03 13:15:09,691 | INFO     | ai_automation.test_cart_total_positive_after_add_inline[iPhone] | END   tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_total_positive_after_add_inline[iPhone]
