2026-05-29 11:44:46,824 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | START tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
2026-05-29 11:44:46,825 | INFO     | ai_automation.api.data_driven | Step: find product for 'iPhone'
2026-05-29 11:44:46,826 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,826 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,827 | INFO     | ai_automation.api.data_driven | Step: add product 40 to cart
2026-05-29 11:44:46,827 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,829 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,829 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:46,831 | INFO     | ai_automation.test_cart_add_from_search_inline[iPhone] | END   tests/api/test_api_data_driven.py::TestCartApiInline::test_cart_add_from_search_inline[iPhone]
